DATE,TASK,TIME FOCUSED
2023-01-19,ENG,25.0
2023-01-18,ENG,6.0
2023-01-17,Math 111,25.0
2023-01-17,Math 111,25.0
2023-01-17,Math 111,25.0
2023-01-17,Math 111,25.0
2023-01-17,Math 111,13.0
2023-01-17,Math 111,25.0
2023-01-17,Math 111,25.0
2023-01-17,Math 111,25.0
2023-01-17,Math 111,25.0
2023-01-17,Math 111,25.0
2023-01-17,Math 111,25.0
2023-01-16,Math 111,25.0
2023-01-16,Math 111,25.0
2023-01-16,Math 111,25.0
2023-01-16,Math 111,2.0
2023-01-16,Math 111,25.0
2023-01-16,Math 111,25.0
2023-01-15,Math 111,25.0
2023-01-15,Math 111,25.0
2023-01-15,Math 111,25.0
2023-01-15,Math 111,25.0
2023-01-15,Math 111,25.0
2023-01-15,Math 111,7.0
2023-01-15,Math 111,25.0
2023-01-15,Math 111,25.0
2023-01-15,Math 111,25.0
2023-01-15,Math 111,25.0
2023-01-15,Math 111,25.0
2023-01-15,Math 111,25.0
2023-01-15,Math 111,25.0
2023-01-15,Math 111,14.0
2023-01-14,Math 111,25.0
2023-01-14,Math 111,25.0
2023-01-14,Math 111,25.0
2023-01-14,Math 111,25.0
2023-01-14,Math 111,25.0
2023-01-14,Math 111,25.0
2023-01-14,MATH 115,3.0
2023-01-14,MATH 115,25.0
2023-01-13,ENG,25.0
2023-01-13,ENG,25.0
2023-01-13,ENG,25.0
2023-01-13,ENG,25.0
2023-01-12,ENG,5.0
2023-01-12,ENG,10.0
2023-01-12,ENG,25.0
2023-01-12,ENG,25.0
2023-01-11,MATH 153,11.0
2023-01-11,MATH 153,25.0
2023-01-11,MATH 153,25.0
2023-01-11,MATH 153,25.0
2023-01-11,MATH 153,10.0
2023-01-10,MATH 153,25.0
2023-01-10,MATH 153,25.0
2023-01-10,MATH 153,25.0
2023-01-10,MATH 153,25.0
2023-01-10,MATH 153,25.0
2023-01-10,MATH 153,25.0
2023-01-10,MATH 153,25.0
2023-01-10,MATH 153,25.0
2023-01-10,MATH 153,25.0
2023-01-10,MATH 153,25.0
2023-01-10,MATH 153,25.0
2023-01-10,MATH 153,25.0
